,S000,S001,S003,S006,S007,S008,S009,S010,S011,S012,S013,S014,S017,S018,S019,S020,S021,S022,S026,S027,S029,S030,S031,S032,S033,S034,S035,S036,S040,S041,S043,S044,S045,S046,S047,S048,S049,S050,S052,S053,S055,S056,MRAM
32,182784,114054,476778,179640,77807,110709,33396,49177,450729,393205,36962,20042,63201,3995,34894,571917,229530,104265,192155,54465,147067,117230,45000,93580,46545,43329,105149,700462,24629,57920,95393,93078,109829,53775,44525,70957,37911,14382,61769,497394,1585,27615,0.3980398704257697
33,201040,76782,338174,110524,49923,69955,28107,62900,321409,268499,35536,16748,100956,5807,27299,519456,247099,34494,215805,82038,105963,107090,43349,113624,80731,34705,80385,667231,27226,60214,86250,86512,104425,52353,44847,64951,28296,10949,38761,598588,1243,36151,0.3985516841080607
34,175293,105174,362028,103376,66587,81057,41856,47462,340338,281901,38579,19236,63186,3617,47075,378980,259624,146893,231263,54872,119672,140574,49387,124403,58604,78832,90567,720542,40534,57925,123134,123083,104389,45340,39377,60220,27111,10568,198875,469584,1792,42577,0.3999942485501877
35,136674,87830,373940,85822,78930,92027,48102,51007,355888,299635,24040,31621,83454,5286,65487,374927,288189,147036,205889,63755,153386,93390,57848,102471,44633,20383,80814,388012,219540,48185,109027,107850,116195,51484,41384,65703,34014,14674,551752,134930,163,13097,0.4005693466245329
36,193844,87592,466853,263343,65854,71470,30337,19307,450311,321001,104762,23852,51414,3767,12926,617593,145997,82223,167279,60533,167985,101227,44596,61873,39219,44370,138820,683690,7155,56149,80968,81121,95326,51797,50015,79511,42638,15141,15115,632995,1331,8818,0.41
37,190265,66126,323117,90265,57727,66140,34929,52344,301405,245661,38535,16604,112880,9187,45225,472463,276795,48501,146474,34474,202143,79062,43439,66302,43122,51653,106549,658147,13906,44777,76050,75329,97340,53960,47704,78794,38849,18745,30543,618047,503,6181,0.4105494746779835
38,182401,94843,351332,107782,61059,72075,40592,53488,334996,246184,63562,24303,85064,3654,19257,506843,207453,65039,190228,59797,147309,110600,38956,80689,56897,50552,108634,687828,8677,54657,87003,83040,85891,49917,46240,68160,34983,15775,45801,592139,8108,11288,0.41066693561082107
39,154056,154060,351651,102230,63860,71349,39984,44152,321575,243070,59250,18533,97363,5074,42146,459860,284538,97012,187516,60494,126677,116298,41762,87682,71025,40249,108697,685405,17935,47049,126424,91269,90527,47821,48446,56324,25330,13147,26798,300483,1789,22443,0.41425062437563176
40,144428,97362,290123,46082,45653,50010,74871,40794,257410,206743,34546,15600,46834,14826,45785,274034,384469,68458,228377,58043,107966,112704,42176,72310,40113,33134,95570,609308,60503,55412,112158,94383,88043,42671,35823,52172,28256,12778,363632,291527,3574,59903,0.4155830006359947
41,167989,73840,371957,152685,54405,95208,21264,32500,356062,294799,41568,19283,50116,3116,13450,607939,147466,55527,238963,44311,120579,125398,48785,89871,43255,27753,73737,702177,28521,57074,127489,117146,83628,37142,33721,44165,20833,7952,132088,590404,3880,25804,0.4190752740397604
42,182548,110783,311166,83704,50660,65211,35649,53671,288895,218676,48674,20966,108126,5047,43849,395410,343653,55868,195735,52750,153864,117815,34814,92424,58772,50094,113143,722133,10447,52462,105146,93393,97367,47640,47070,68058,33772,11983,39283,516534,2030,11529,0.4199156309182119
43,212352,91489,351177,114235,70565,90776,33865,26238,335679,273202,38552,23389,123603,4649,24965,488095,296563,93243,149967,38149,171853,115935,51323,121545,74515,61750,105298,646632,66712,40840,81139,81800,90075,52522,62726,128931,76973,32464,155349,558976,901,12711,0.42
44,147280,97060,402978,137700,93396,97868,20811,28144,377919,314834,41176,21450,86153,5751,17882,585654,220312,56130,184151,38854,145220,122831,41054,64493,33877,57976,95706,590305,54607,46294,98468,97008,95250,41928,44510,63558,31378,9368,210671,335975,5400,34627,0.42009928985816897
45,198950,59863,404995,180264,54900,86114,25681,39225,386184,335344,30193,20122,84972,5340,17922,598655,201335,28541,175802,47809,137346,72815,35131,123465,91592,36057,71076,651358,34609,45479,77030,84319,103092,52409,50023,68668,40606,18832,26784,595972,677,34329,0.4214203314391768
46,165702,106027,396783,167146,56684,90249,35396,30382,379857,274171,86384,18917,83835,2946,16109,619523,199192,53143,193554,63523,113585,123895,50151,107636,63721,87475,79026,659516,38177,49204,115566,92592,92260,49639,42859,60234,31973,12427,57867,465190,1623,39378,0.4222880926814687
47,174859,99967,328233,88052,54054,60122,59376,45261,306865,237763,52183,16506,77577,7654,42978,391063,333775,74701,185686,66421,114075,126267,57713,89001,54982,59026,107698,660751,17834,51056,97689,80077,85922,48634,46949,68422,32861,13579,45533,594279,10447,17902,0.4264060793375496
48,199698,78910,312926,81529,57318,72183,25468,46725,283223,236408,30229,16421,110466,9592,58132,429030,323961,39462,184294,53271,137398,114144,45922,80072,53221,43115,103196,678105,14722,47580,86448,82239,91955,50545,48301,69304,32830,15209,43549,577943,1576,11231,0.42771959848102653
49,221838,58017,358697,105946,78267,74170,33757,37408,329548,259780,54893,14588,99497,7598,35311,481497,271804,54610,174587,46294,164326,101334,43785,113783,63867,49049,91764,660756,44985,45824,85434,84101,108005,56563,49447,79728,41403,20112,59571,553416,281,29134,0.4280272613835003
50,159791,66998,443312,213122,54639,91335,30089,26803,415988,338913,51666,24727,56767,2405,19734,671713,169630,90688,215688,40963,118774,98540,34104,66085,37357,46992,120890,629308,51303,59798,108187,100419,93955,40136,38410,55801,30452,10247,528218,193264,2967,12094,0.4300000000000001
51,282995,133130,322462,85539,61214,65099,34421,56651,302924,237162,44346,20895,114935,6112,51683,433100,297061,81513,242914,61389,206415,168223,66134,148944,71662,85461,147538,1011818,11585,65750,126836,120268,127833,77803,75995,109577,52382,21922,37090,900884,62998,8326,0.4313745735928197
52,169660,91788,376830,128530,62957,83600,26467,54666,356220,306805,31650,17626,97035,7909,33346,521190,257933,40661,173281,38309,172873,72625,37999,78336,42368,38810,100446,638285,23771,50705,94010,84878,94251,47383,43702,63831,33812,18495,135980,520300,344,13648,0.4336973977708225
53,158428,93862,348789,124064,56572,80059,31867,43442,336004,264556,52885,17743,70133,5410,21762,491437,167217,48339,183149,49144,94258,92054,35230,112941,55311,40857,68697,597387,17996,44844,101311,89042,83307,41428,35916,46391,22827,9371,73293,481928,1653,22715,0.434001478852466
54,223647,97799,403888,136168,66847,80729,36125,67705,387574,305780,57543,23596,98573,6071,35349,566593,276785,33858,211065,45629,146218,120660,56173,124679,57049,45868,96976,765280,23108,54158,114537,107881,107820,51519,51646,66759,33374,15415,55184,688137,2278,28176,0.4359179314286021
55,204599,57704,440426,214732,61215,90908,20198,37056,424109,360625,41308,21452,63301,4384,16619,570130,157087,44794,191128,49865,79891,95038,36461,160506,97583,28404,60528,609513,67738,51787,85431,84162,113079,57549,48569,62909,27980,14853,67177,556741,217,65315,0.4369318716233115
56,175261,114280,419151,147221,71528,87782,47370,53468,407369,317207,61808,27697,83012,5696,22783,596899,193110,52138,191465,49546,141504,94037,41351,103841,61181,37286,90929,692867,21890,52627,100739,88956,96648,51116,47488,59865,28232,14726,22492,509151,417,27104,0.4390703058281888
57,204326,103685,371687,119465,57857,77134,33870,60317,348643,277272,51025,20041,104995,5942,45460,494816,277612,82960,174939,46954,164210,116776,58445,92099,43668,63154,132570,728205,14327,50581,89777,96778,101212,55856,55210,92922,40540,13350,73104,531613,5993,5377,0.44
58,150300,88143,359773,152275,58943,82128,22547,28829,344722,270643,37110,36677,70337,6638,12404,521423,220205,47238,202824,58865,114463,133240,42895,94410,46403,53802,83094,589690,73122,50741,103500,91512,102263,52516,45525,60119,29283,15387,236000,410937,8048,40862,0.4400000000000001
59,190957,98564,376448,145494,67201,85580,27835,28431,354541,272015,60730,21438,77961,7323,29191,524723,277538,45796,211194,45409,117395,107856,49118,142503,83655,48534,67532,681754,49781,52471,115372,120947,113816,53969,41830,58776,25700,10222,156313,501178,4251,53186,0.44013517549530295
60,202409,61591,383995,116125,80991,80413,19402,51697,348628,290048,45124,12969,68023,8697,47113,432132,279306,89752,183764,51719,109487,69864,29959,169299,112843,25600,64217,591243,87912,48543,74840,91857,116138,54477,51852,71855,35531,22067,82080,535951,98,78725,0.4418895067741169
61,134699,145368,395548,110869,81982,105565,41514,34295,374225,306500,38833,28601,67002,5383,56059,416102,271523,126815,163545,54467,138067,73077,48692,117291,90868,15081,74371,312520,226547,38834,112893,102591,110983,51444,41272,69387,43453,23562,534078,157866,292,16194,0.4429777006724663
62,206402,59464,349557,104643,58114,72387,41152,59547,335843,260987,46761,27056,92278,8525,21361,476133,259981,33371,151748,38136,148901,118348,58848,71257,35385,51547,96688,647094,7718,41926,72364,72625,86934,53389,48924,74228,37608,17724,11186,608555,18280,5344,0.4433181222783183
63,209033,79682,357806,116108,64311,68526,32774,49518,331237,264052,51281,15524,98144,4507,57858,448158,291885,85192,226248,49615,121978,111677,56119,130943,65164,56875,93569,749776,26743,56806,99746,114892,125931,52560,43189,65379,27861,11776,78269,542898,2246,11238,0.4459065328270088
64,181430,115994,244466,65558,41394,50325,22174,41242,220693,169000,37568,13624,116597,7454,74586,336863,401474,37134,207454,73416,143937,98252,37697,92825,66853,40894,122303,716791,11693,56415,104467,96860,99706,50005,46989,64040,31718,10508,36261,626452,1530,15453,0.44603394334551794
65,186323,92087,331468,114876,58533,66999,28930,42399,311737,237745,51313,22001,99351,7815,42292,471991,284595,40617,176336,56365,135706,91354,58435,82816,63393,42833,90918,657173,22734,52498,88819,79092,98244,54515,46272,66004,32185,17664,31101,578150,1983,19087,0.44687596021000026
